epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
46,387.443,1.15953,1.72643,0.00154,0.39432,0.33043,0.3795,0.25306,1.1676,2.35828,0.00241,0.00117435,0.00117435,0.00117435
47,394.785,1.24903,1.73471,0.00174,0.39432,0.33043,0.3795,0.25306,1.1676,2.35828,0.00241,0.00116869,0.00116869,0.00116869
48,402.029,1.10639,1.93065,0.00171,0.3707,0.35186,0.38766,0.26535,1.09365,2.23614,0.00226,0.00116303,0.00116303,0.00116303
49,409.246,1.17105,1.8533,0.00157,0.3707,0.35186,0.38766,0.26535,1.09365,2.23614,0.00226,0.00115738,0.00115738,0.00115738
50,416.22,1.08905,1.96613,0.0017,0.3794,0.37369,0.4004,0.28474,1.01434,2.15121,0.00206,0.00115172,0.00115172,0.00115172
51,423.941,1.18866,1.74903,0.00166,0.3794,0.37369,0.4004,0.28474,1.01434,2.15121,0.00206,0.00114606,0.00114606,0.00114606
52,432.024,1.124,1.63921,0.00152,0.37567,0.40907,0.41574,0.29089,1.08968,2.07671,0.00213,0.0011404,0.0011404,0.0011404
53,459.516,1.18991,1.54467,0.00153,0.37567,0.40907,0.41574,0.29089,1.08968,2.07671,0.00213,0.00113474,0.00113474,0.00113474
54,465.903,1.13052,1.68175,0.0016,0.37113,0.39474,0.4238,0.29098,1.07814,2.01343,0.0021,0.00112908,0.00112908,0.00112908
55,474.44,1.17235,1.61695,0.00166,0.37113,0.39474,0.4238,0.29098,1.07814,2.01343,0.0021,0.00112342,0.00112342,0.00112342
56,503.188,1.22787,1.55961,0.00155,0.37572,0.40872,0.42846,0.29101,1.05165,1.96531,0.00218,0.00111776,0.00111776,0.00111776
57,509.888,1.23676,1.50912,0.00162,0.37572,0.40872,0.42846,0.29101,1.05165,1.96531,0.00218,0.0011121,0.0011121,0.0011121
58,517.059,1.10143,1.53116,0.00158,0.38362,0.41225,0.43385,0.28935,1.04587,1.92801,0.00217,0.00110645,0.00110645,0.00110645
59,523.426,1.1375,1.37416,0.00153,0.38362,0.41225,0.43385,0.28935,1.04587,1.92801,0.00217,0.00110079,0.00110079,0.00110079
60,540.271,1.17182,1.67117,0.0017,0.38238,0.40367,0.44047,0.29643,1.06393,1.84825,0.00218,0.00109513,0.00109513,0.00109513
61,543.638,1.16902,1.53612,0.00159,0.38238,0.40367,0.44047,0.29643,1.06393,1.84825,0.00218,0.00108947,0.00108947,0.00108947
62,547.226,1.2717,1.65087,0.00181,0.39767,0.40003,0.44473,0.30338,1.05302,1.82256,0.00208,0.00108381,0.00108381,0.00108381
63,551.053,1.17584,1.48836,0.00153,0.39767,0.40003,0.44473,0.30338,1.05302,1.82256,0.00208,0.00107815,0.00107815,0.00107815
64,555.444,1.18242,1.44901,0.00153,0.40758,0.42229,0.44511,0.32012,0.9847,1.74884,0.00192,0.00107249,0.00107249,0.00107249
65,559.071,1.14225,1.52742,0.0016,0.40758,0.42229,0.44511,0.32012,0.9847,1.74884,0.00192,0.00106683,0.00106683,0.00106683
66,562.386,1.06224,1.59552,0.00151,0.40694,0.40637,0.44211,0.32049,0.9865,1.73665,0.00178,0.00106118,0.00106118,0.00106118
67,566.742,1.27026,1.60854,0.00161,0.40694,0.40637,0.44211,0.32049,0.9865,1.73665,0.00178,0.00105552,0.00105552,0.00105552
68,570.542,1.12654,1.47699,0.00154,0.39793,0.41638,0.4449,0.31774,0.96425,1.72457,0.00171,0.00104986,0.00104986,0.00104986
69,574.105,1.02257,1.37885,0.00143,0.39793,0.41638,0.4449,0.31774,0.96425,1.72457,0.00171,0.0010442,0.0010442,0.0010442
70,577.949,1.11316,1.60586,0.00159,0.39187,0.41545,0.44695,0.33297,0.87401,1.67751,0.00164,0.00103854,0.00103854,0.00103854
71,582.154,1.04368,1.5633,0.00142,0.39187,0.41545,0.44695,0.33297,0.87401,1.67751,0.00164,0.00103288,0.00103288,0.00103288
72,585.67,1.118,1.35247,0.00144,0.39973,0.41354,0.44843,0.33269,0.90216,1.65899,0.00169,0.00102722,0.00102722,0.00102722
73,588.968,1.21255,1.4363,0.00173,0.39973,0.41354,0.44843,0.33269,0.90216,1.65899,0.00169,0.00102156,0.00102156,0.00102156
74,593.555,1.08327,1.35065,0.00145,0.40509,0.41025,0.45263,0.33064,0.94766,1.64759,0.00179,0.0010159,0.0010159,0.0010159
75,597.162,1.11738,1.30743,0.00153,0.40509,0.41025,0.45263,0.33064,0.94766,1.64759,0.00179,0.00101025,0.00101025,0.00101025
76,600.535,1.07317,1.25087,0.00133,0.40622,0.43909,0.46427,0.34572,0.91833,1.60058,0.00177,0.00100459,0.00100459,0.00100459
