epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,358.698,0.80276,0.74546,0.84555,0.47853,0.78008,0.59329,0.42036,0.90635,0.85347,0.89009,0.00108088,0.00108088,0.00108088
43,364.576,0.76294,0.74723,0.84981,0.48094,0.78925,0.61761,0.42832,0.91931,0.85778,0.89176,0.00107675,0.00107675,0.00107675
44,372.997,0.94095,0.82949,0.85354,0.73755,0.51418,0.57593,0.41695,0.87117,0.85802,0.87648,0.00107263,0.00107263,0.00107263
45,379.212,0.72619,0.70132,0.83285,0.75256,0.49946,0.55543,0.40219,0.89847,0.8392,0.88174,0.0010685,0.0010685,0.0010685
46,388.057,0.77808,0.68772,0.83034,0.78019,0.49685,0.55166,0.40385,0.91799,0.83184,0.88783,0.00106437,0.00106437,0.00106437
47,395.156,0.86269,0.79821,0.84977,0.57795,0.71668,0.65885,0.42843,0.99046,0.83763,0.91739,0.00106025,0.00106025,0.00106025
48,402.475,0.85518,0.74386,0.84941,0.55954,0.77789,0.62084,0.42112,0.92964,0.81048,0.89699,0.00105612,0.00105612,0.00105612
49,411.006,0.75873,0.69248,0.83389,0.54469,0.75814,0.59668,0.41898,0.90189,0.84034,0.89003,0.001052,0.001052,0.001052
50,418.359,0.76577,0.71382,0.83997,0.60867,0.72957,0.61623,0.43733,0.91668,0.8263,0.89216,0.00104787,0.00104787,0.00104787
51,425.716,0.76304,0.69119,0.83626,0.69329,0.75022,0.66299,0.44564,0.92566,0.7912,0.88904,0.00104375,0.00104375,0.00104375
52,432.815,0.78961,0.70779,0.84389,0.52334,0.76589,0.58401,0.40941,0.94379,0.83021,0.89478,0.00103962,0.00103962,0.00103962
53,440.603,0.78722,0.71244,0.84257,0.44254,0.79469,0.59019,0.40476,0.92174,0.8372,0.89072,0.0010355,0.0010355,0.0010355
54,447.742,0.78353,0.69264,0.85688,0.86823,0.49194,0.58623,0.41483,0.9086,0.80602,0.90011,0.00103138,0.00103138,0.00103138
55,455.763,0.75437,0.65728,0.83847,0.85152,0.51369,0.57501,0.42172,0.84148,0.77334,0.88942,0.00102725,0.00102725,0.00102725
56,464.808,0.79088,0.67615,0.83127,0.97439,0.51608,0.58972,0.42987,0.86879,0.74867,0.88488,0.00102312,0.00102312,0.00102312
57,471.342,0.71977,0.63817,0.83074,0.94329,0.50182,0.60152,0.43518,0.85134,0.75234,0.88168,0.001019,0.001019,0.001019
58,479.884,0.76912,0.65879,0.82921,0.9761,0.47871,0.67643,0.43644,0.89148,0.80037,0.88562,0.00101488,0.00101488,0.00101488
59,486.398,0.78773,0.66942,0.83495,0.79763,0.50595,0.62244,0.42715,0.84332,0.81676,0.87863,0.00101075,0.00101075,0.00101075
60,495.022,0.74048,0.64999,0.83082,0.86861,0.49782,0.56225,0.41277,0.81906,0.76333,0.86887,0.00100663,0.00100663,0.00100663
