epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,481.484,0.90006,1.04766,0.00146,0.40255,0.4734,0.52935,0.37136,0.97864,1.36634,0.00186,0.00107675,0.00107675,0.00107675
44,492.018,0.95348,1.07607,0.00137,0.39555,0.51007,0.52478,0.37301,0.99101,1.27924,0.00198,0.00107263,0.00107263,0.00107263
45,502.312,0.83584,0.94591,0.00129,0.49339,0.47967,0.53574,0.37089,0.9921,1.22124,0.00196,0.0010685,0.0010685,0.0010685
46,513.538,0.90736,0.93246,0.00132,0.44658,0.51663,0.55275,0.36285,1.0737,1.23446,0.00193,0.00106437,0.00106437,0.00106437
47,523.193,1.02535,1.11713,0.00134,0.44269,0.78319,0.53588,0.38425,0.95455,1.19115,0.00182,0.00106025,0.00106025,0.00106025
48,534.194,0.93847,0.99259,0.00127,0.5123,0.67398,0.54354,0.37821,0.97386,1.16901,0.00183,0.00105612,0.00105612,0.00105612
49,544.608,0.84034,0.92798,0.00127,0.49168,0.67167,0.5467,0.38406,0.96143,1.17515,0.00187,0.001052,0.001052,0.001052
50,556.487,0.87067,0.98048,0.00135,0.50472,0.69637,0.54361,0.37767,0.98471,1.24023,0.00182,0.00104787,0.00104787,0.00104787
51,566.196,0.87973,0.9421,0.00128,0.46094,0.78163,0.54561,0.3794,0.94534,1.15592,0.0018,0.00104375,0.00104375,0.00104375
52,576.603,0.8618,0.93305,0.00127,0.5098,0.73275,0.54278,0.36975,1.00347,1.11299,0.00187,0.00103962,0.00103962,0.00103962
53,587.207,0.85935,0.95619,0.00131,0.43772,0.78368,0.53027,0.37326,0.98714,1.09776,0.00182,0.0010355,0.0010355,0.0010355
54,597.207,0.82222,0.90357,0.0013,0.49356,0.48342,0.49336,0.38265,0.95188,1.02845,0.00183,0.00103138,0.00103138,0.00103138
55,609.531,0.8583,0.86016,0.0012,0.4763,0.77202,0.54362,0.37001,1.0747,1.04866,0.00199,0.00102725,0.00102725,0.00102725
56,619.625,0.91497,0.84253,0.0013,0.41543,0.64305,0.54557,0.38916,0.97433,1.01649,0.00182,0.00102312,0.00102312,0.00102312
57,631.797,0.8319,0.84267,0.00123,0.42752,0.78911,0.54196,0.38101,0.97307,1.01855,0.00183,0.001019,0.001019,0.001019
58,642.67,0.83838,0.82922,0.00124,0.56964,0.72623,0.61793,0.39458,0.92538,1.03395,0.00173,0.00101488,0.00101488,0.00101488
59,653.198,0.92871,0.88594,0.00129,0.60747,0.71921,0.6162,0.37586,1.02358,1.07292,0.00193,0.00101075,0.00101075,0.00101075
60,663.822,0.85818,0.83187,0.00123,0.55286,0.72706,0.60138,0.4048,1.02119,1.03093,0.00189,0.00100663,0.00100663,0.00100663
61,673.347,0.84288,0.82428,0.00135,0.63652,0.73205,0.63395,0.40323,1.01018,0.98514,0.00187,0.0010025,0.0010025,0.0010025
62,685.138,0.81711,0.75399,0.0012,0.61255,0.75464,0.63682,0.43503,0.93671,0.88882,0.00172,0.000998375,0.000998375,0.000998375
63,695.758,0.83072,0.80227,0.00119,0.57523,0.74503,0.63547,0.441,0.91281,0.8776,0.00171,0.00099425,0.00099425,0.00099425
64,706.948,0.82613,0.75361,0.00115,0.57657,0.73696,0.58995,0.41439,0.97018,0.96107,0.00179,0.000990125,0.000990125,0.000990125
65,716.722,0.8319,0.9257,0.00137,0.61525,0.70621,0.59065,0.40882,0.98478,0.9788,0.00185,0.000986,0.000986,0.000986
66,727.139,0.89133,0.83031,0.00129,0.45019,0.5617,0.57199,0.41183,0.97454,0.9359,0.00183,0.000981875,0.000981875,0.000981875
67,738.493,0.82553,0.75884,0.00116,0.75403,0.49538,0.56473,0.40662,0.92093,0.92214,0.00171,0.00097775,0.00097775,0.00097775
68,750.708,0.84557,0.74606,0.00118,0.79208,0.44996,0.55329,0.41128,0.92977,0.89588,0.00175,0.000973625,0.000973625,0.000973625
69,761.289,0.83417,0.74967,0.00122,0.76407,0.47788,0.54731,0.41206,0.91549,0.86643,0.00175,0.0009695,0.0009695,0.0009695
70,772.046,0.82018,0.7777,0.00134,0.76686,0.47837,0.57169,0.39967,0.98167,0.88822,0.00196,0.000965375,0.000965375,0.000965375
71,782.336,0.81205,0.7288,0.00119,0.4699,0.64749,0.64789,0.4081,0.9721,0.9179,0.00184,0.00096125,0.00096125,0.00096125
72,793.116,0.86496,0.74884,0.00122,0.52984,0.76158,0.63057,0.40604,0.92546,0.89981,0.00176,0.000957125,0.000957125,0.000957125
73,803.147,0.83722,0.74391,0.0012,0.57134,0.76158,0.63396,0.41028,0.91767,0.8478,0.00175,0.000953,0.000953,0.000953
74,814.918,0.78753,0.70411,0.00123,0.64458,0.75615,0.63666,0.40706,0.95061,0.82184,0.00182,0.000948875,0.000948875,0.000948875
75,827.707,0.78118,0.71566,0.00119,0.60316,0.76134,0.65685,0.43418,0.96045,0.85861,0.00177,0.00094475,0.00094475,0.00094475
76,838.511,0.84329,0.72638,0.00115,0.60226,0.7559,0.6687,0.44363,0.94603,0.80906,0.00176,0.000940625,0.000940625,0.000940625
77,848.59,0.79056,0.67828,0.0011,0.61305,0.77824,0.6638,0.44019,0.90459,0.81249,0.00172,0.0009365,0.0009365,0.0009365
78,858.938,0.81279,0.71396,0.00125,0.57114,0.74129,0.65283,0.40863,1.02389,0.90418,0.00202,0.000932375,0.000932375,0.000932375
79,869.729,0.80803,0.70164,0.00122,0.43417,0.5366,0.58394,0.41739,0.90376,0.90802,0.00172,0.00092825,0.00092825,0.00092825
