epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,173.156,1.16846,1.38019,0.9309,0.05081,0.27657,0.17086,0.09585,1.22843,3.28073,1.00411,0.00118567,0.00118567,0.00118567
45,175.957,1.23853,1.25147,0.92545,0.05081,0.27657,0.17086,0.09585,1.22843,3.28073,1.00411,0.00118001,0.00118001,0.00118001
46,179.163,1.15737,1.27641,0.92297,0.05734,0.29761,0.17637,0.11172,1.24433,3.22257,1.00434,0.00117435,0.00117435,0.00117435
47,182.513,1.207,1.2776,0.94943,0.05734,0.29761,0.17637,0.11172,1.24433,3.22257,1.00434,0.00116869,0.00116869,0.00116869
48,187.109,1.09849,1.20837,0.95219,0.06654,0.53247,0.21881,0.14266,1.15704,3.09294,0.9761,0.00116303,0.00116303,0.00116303
49,190.238,1.19201,1.33383,0.94699,0.06654,0.53247,0.21881,0.14266,1.15704,3.09294,0.9761,0.00115738,0.00115738,0.00115738
50,193.291,1.09822,1.31995,0.93528,0.0831,0.64746,0.27405,0.17259,1.08779,2.97972,0.95801,0.00115172,0.00115172,0.00115172
51,196.578,1.20226,1.30341,0.9371,0.0831,0.64746,0.27405,0.17259,1.08779,2.97972,0.95801,0.00114606,0.00114606,0.00114606
52,200.661,1.13663,1.19145,0.91418,0.08975,0.70865,0.31912,0.19922,1.074,2.87599,0.94618,0.0011404,0.0011404,0.0011404
53,204.157,1.15669,1.16854,0.91962,0.08975,0.70865,0.31912,0.19922,1.074,2.87599,0.94618,0.00113474,0.00113474,0.00113474
54,207.216,1.0936,1.15677,0.91559,0.09365,0.91312,0.3738,0.23868,1.07293,2.68937,0.94139,0.00112908,0.00112908,0.00112908
55,211.351,1.10901,1.14625,0.93213,0.09365,0.91312,0.3738,0.23868,1.07293,2.68937,0.94139,0.00112342,0.00112342,0.00112342
56,215.011,1.14361,1.16309,0.91256,0.39407,0.4317,0.39637,0.27985,1.07865,2.47965,0.94341,0.00111776,0.00111776,0.00111776
57,218.495,1.16491,1.13108,0.91803,0.39407,0.4317,0.39637,0.27985,1.07865,2.47965,0.94341,0.0011121,0.0011121,0.0011121
