epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,486.232,0.76192,0.73036,0.84907,0.43156,0.53621,0.52994,0.38853,0.8698,0.84502,0.8766,0.00107675,0.00107675,0.00107675
44,495.747,0.84101,0.76883,0.85772,0.69532,0.52832,0.52893,0.38821,0.92024,0.88372,0.87772,0.00107263,0.00107263,0.00107263
45,506.029,0.73393,0.7039,0.839,0.46022,0.51937,0.52645,0.38734,0.92137,0.85867,0.87147,0.0010685,0.0010685,0.0010685
46,516.124,0.78617,0.69508,0.84244,0.46989,0.5241,0.51839,0.38506,0.87272,0.84504,0.85849,0.00106437,0.00106437,0.00106437
47,525.509,0.85395,0.78425,0.85623,0.46095,0.83113,0.54116,0.3862,0.91406,0.81589,0.86537,0.00106025,0.00106025,0.00106025
48,535.756,0.79745,0.71114,0.84888,0.46586,0.75946,0.53543,0.40577,0.8138,0.80756,0.86017,0.00105612,0.00105612,0.00105612
49,545.878,0.72487,0.69551,0.83889,0.44289,0.74225,0.52203,0.39185,0.86061,0.8681,0.8668,0.001052,0.001052,0.001052
50,557.769,0.71592,0.69764,0.83537,0.39104,0.53925,0.52187,0.38506,0.86284,0.94709,0.86849,0.00104787,0.00104787,0.00104787
51,566.255,0.74491,0.69824,0.83827,0.5164,0.46477,0.53374,0.39081,0.87372,0.82771,0.86365,0.00104375,0.00104375,0.00104375
52,577.736,0.71856,0.67081,0.83656,0.50437,0.48232,0.51968,0.40093,0.83242,0.81583,0.86117,0.00103962,0.00103962,0.00103962
53,587.44,0.75544,0.69356,0.84664,0.54138,0.45395,0.51818,0.39895,0.85375,0.8401,0.86194,0.0010355,0.0010355,0.0010355
54,598.123,0.75422,0.67811,0.84408,0.5275,0.45552,0.52008,0.39387,0.88059,0.87167,0.86222,0.00103138,0.00103138,0.00103138
55,609.167,0.7279,0.64777,0.83078,0.51314,0.73944,0.55218,0.4091,0.85306,0.84331,0.86164,0.00102725,0.00102725,0.00102725
56,618.483,0.79693,0.67992,0.8442,0.52427,0.75579,0.55645,0.40134,0.85352,0.76807,0.86614,0.00102312,0.00102312,0.00102312
57,629.36,0.71146,0.62804,0.83333,0.48641,0.79469,0.56158,0.40686,0.84398,0.72927,0.87114,0.001019,0.001019,0.001019
58,640.261,0.74927,0.63784,0.83746,0.74752,0.49054,0.56276,0.41051,0.8598,0.76238,0.87032,0.00101488,0.00101488,0.00101488
59,648.558,0.77627,0.67924,0.83815,0.48686,0.50831,0.53725,0.39556,0.878,0.83983,0.87243,0.00101075,0.00101075,0.00101075
60,658.612,0.70513,0.64906,0.83132,0.48976,0.5059,0.53562,0.39826,0.87314,0.77467,0.85785,0.00100663,0.00100663,0.00100663
61,669.037,0.74812,0.63831,0.84328,0.43252,0.71747,0.53422,0.39312,0.85607,0.78668,0.8549,0.0010025,0.0010025,0.0010025
62,679.515,0.70672,0.6413,0.82802,0.50917,0.75382,0.54071,0.39873,0.81826,0.74056,0.84822,0.000998375,0.000998375,0.000998375
63,689.885,0.724,0.62689,0.83348,0.51641,0.73465,0.54194,0.41454,0.79842,0.82001,0.85267,0.00099425,0.00099425,0.00099425
64,699.698,0.72675,0.63232,0.83447,0.51901,0.74778,0.55752,0.40762,0.82694,0.77742,0.85973,0.000990125,0.000990125,0.000990125
65,709.486,0.72979,0.70467,0.84697,0.52155,0.74111,0.55903,0.40479,0.85353,0.7801,0.86533,0.000986,0.000986,0.000986
66,720.143,0.7664,0.65445,0.84366,0.56212,0.78357,0.59537,0.41375,0.90229,0.77968,0.86963,0.000981875,0.000981875,0.000981875
67,730.749,0.70465,0.61261,0.82979,0.61318,0.79385,0.60167,0.40734,0.84468,0.72921,0.86566,0.00097775,0.00097775,0.00097775
68,740.542,0.70587,0.59654,0.82837,0.51597,0.789,0.56473,0.40986,0.82344,0.73559,0.86122,0.000973625,0.000973625,0.000973625
69,749.483,0.68811,0.59603,0.82963,0.58455,0.75293,0.59641,0.40488,0.83138,0.73903,0.86475,0.0009695,0.0009695,0.0009695
70,759.103,0.69104,0.62018,0.83196,0.52054,0.79861,0.55858,0.39527,0.87962,0.73846,0.86515,0.000965375,0.000965375,0.000965375
71,768.077,0.71251,0.59821,0.83369,0.59419,0.72441,0.57054,0.41234,0.84956,0.75104,0.85948,0.00096125,0.00096125,0.00096125
72,778.014,0.72055,0.59884,0.83276,0.55459,0.73405,0.53752,0.4043,0.8633,0.82278,0.85853,0.000957125,0.000957125,0.000957125
73,788.51,0.70049,0.58678,0.83067,0.53127,0.75036,0.54078,0.40712,0.82671,0.75443,0.85642,0.000953,0.000953,0.000953
74,798.749,0.65733,0.58073,0.82388,0.57291,0.8161,0.58927,0.41122,0.8634,0.70289,0.86989,0.000948875,0.000948875,0.000948875
75,809.553,0.65865,0.57341,0.8231,0.54056,0.78925,0.57885,0.4178,0.86471,0.68881,0.86648,0.00094475,0.00094475,0.00094475
76,818.799,0.71353,0.5722,0.83322,0.50715,0.79469,0.59502,0.42323,0.85827,0.67739,0.87097,0.000940625,0.000940625,0.000940625
77,829.66,0.6766,0.5557,0.82747,0.52369,0.82246,0.6029,0.43059,0.84102,0.6548,0.86604,0.0009365,0.0009365,0.0009365
78,839.34,0.67677,0.56795,0.83208,0.49453,0.78119,0.61488,0.42067,0.86837,0.67256,0.86397,0.000932375,0.000932375,0.000932375
79,848.853,0.67733,0.56737,0.83,0.52767,0.87219,0.61706,0.43765,0.8365,0.6602,0.85964,0.00092825,0.00092825,0.00092825
